model,task,language,n,mean_reasoning_tokens_old_wordsplit,mean_reasoning_length_v2_script_aware,mean_completion_tokens
qwen3-32b,code,ar,100,992.4,992.4,1762.1
qwen3-32b,code,en,100,1118.1,1118.1,1872.9
qwen3-32b,code,es,100,1068.5,1068.5,1839.8
qwen3-32b,code,hi,100,640.7,640.7,1917.2
qwen3-32b,code,tr,100,883.4,883.4,1598.0
qwen3-32b,code,zh,100,253.7,1701.0,1739.6
qwen3-32b,commonsense,ar,100,234.9,234.9,520.9
qwen3-32b,commonsense,en,100,262.6,262.6,386.9
qwen3-32b,commonsense,es,100,250.8,250.8,458.9
qwen3-32b,commonsense,hi,100,245.9,245.9,492.6
qwen3-32b,commonsense,tr,100,285.2,285.2,496.1
qwen3-32b,commonsense,zh,100,7.5,568.1,420.0
qwen3-32b,math,ar,100,329.6,329.6,697.0
qwen3-32b,math,en,100,412.9,412.9,776.0
qwen3-32b,math,es,100,303.5,303.5,666.0
qwen3-32b,math,hi,100,312.7,312.7,837.1
qwen3-32b,math,tr,100,323.1,323.1,693.3
qwen3-32b,math,zh,100,155.0,533.6,682.3
